Comment,Designator,Footprint,LCSC,Quantity
1k,R1,R_0402_1005Metric,C11702,1
0.1uF,"C3,C5,C6,C7,C8,C9",C_0402_1005Metric,C1525,6
10uF,"C1,C11",C_0402_1005Metric,C15525,2
USB_C_Receptacle_USB2.0_16P,J1,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,C165948,1
PTS820J25MSMTRLFS,"S1,S2",PTS820J25MSMTRLFS,C221900,2
33 mOhm 1% 250mW,R8,R_0805_2012Metric,C247604,1
330,"R14,R16",R_0402_1005Metric,C25104,2
33,R15,R_0402_1005Metric,C25105,1
100k,R9,R_0402_1005Metric,C25741,1
10k,R5,R_0402_1005Metric,C25744,1
4.7k,"R10,R11,R12,R13,R17,R18",R_0402_1005Metric,C25900,6
5.1k 1%,"R6,R7",R_0402_1005Metric,C25905,2
MAX17048G+T10,IC4,SON50P200X200X80-9N-D,C2682616,1
ESP32-S3-MINI-1-N8,IC1,ESP32S3MINI1N8,C2913206,1
2k,R2,R_0402_1005Metric,C4109,1
DMP2045U-7,Q1,SOT96P240X115-3N,C459541,1
INA226AIDGSR,IC3,SOP50P490X110-10N,C49851,1
AP2112K-3.3TRG1,IC2,SOT95P285X140-5N,C51118,1
1uF,"C10,C2",C_0402_1005Metric,C52923,2
22uF,C4,C_0603_1608Metric,C59461,1
TP4054,IC5,SOT95P280X100-5N,C668215,1
green,"D1,D4",LEDC1005X55N,C71911,2
red,D2,LEDC1005X55N,C74338,1
1N5819HW-7-F,D3,SOD3716X145N,C82544,1
